{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;SFH_RENO;MFH_RENO
57;0.000145349;0.000204382;0.000146855;0.000114155;1.71E-06;0.328529367;0.522714827;0.356396601;0;0.254675731;0.291927646
58;0.000154919;0.000172811;0.000164478;0.000114155;0.001401807;0.265741508;0.662952822;0.356396601;0.010492938;0.273457969;0.293677492
59;0.000156494;0.000139578;0.000187974;0.000114155;0.005600368;0.203597295;0.541203314;0.356367969;0.018575869;0.270308115;0.278125337
60;0.000158416;0.000117977;0.000206772;0.000114155;0.009955828;0.109103705;0.349315501;0.356367969;0.021325138;0.267484108;0.29292823
61;0.000157724;0.000114653;0.000187974;0.000114155;0.018857086;0.106947822;0.447788543;0.356367969;0.00556733;0.300576672;0.284146868
62;0.000153035;0.000116315;0.000190324;0.000114155;0.025908131;0.132188132;0.382701488;0.356367969;0.004505762;0.286459381;0.28173929
63;0.00014581;0.000119638;0.000213821;0.000114155;0.025198225;0.125110244;0.230560236;0.356348881;0.013462065;0.25037943;0.271048903
64;0.000144734;0.00013127;0.00022322;0.000114155;0.01001413;0.201056115;0.013609239;0.356348881;0.004489093;0.269739578;0.276111458
65;0.00015365;0.000144563;0.00022322;0.000114155;0.001226902;0.350823155;0.011780399;0.356348881;0;0.302118019;0.286985323
66;0.000181014;0.000149548;0.000164478;0.000114155;0;0.321981541;0.036285454;0.356348881;0;0.307605502;0.281927177
67;0.000180706;0.000156194;0.000117484;0.000114155;0;0.180539594;0.340332772;0.35632025;0;0.392019863;0.273164144
68;0.000166064;0.000161179;8.81E-05;0.000114155;0;0.228859877;0.361969952;0.35632025;0;0.383602058;0.279166581
69;0.00014581;0.000166164;5.87E-05;0.000114155;0;0.174065264;0.385825611;0.35632025;0;0.361849686;0.282537206
70;0.000126133;0.000172811;3.76E-05;0.000114155;0;0.076578382;0.405700646;0.35632025;0;0.367495395;0.284227742
71;0.000136779;0.000177796;2.35E-05;0.000114155;0;0.085883422;0.263188009;0.356301162;0;0.340592305;0.286883923
72;0.000136894;0.000182781;9.40E-06;0.000114155;0;0.090199642;0.319067678;0.356301162;0;0.305136106;0.289148587
73;0.000109377;0.000191089;5.87E-06;0.000114155;0;0.134936437;0.374785875;0.356301162;0;0.310319796;0.295063091
74;8.59E-05;0.000199397;2.35E-06;0.000114155;0;0.165299196;0.333129739;0.356301162;0;0.299344825;0.299905916
75;6.80E-05;0.000207705;1.17E-06;0.000114155;0;0.151368362;0.246317748;0.35627253;0;0.321725442;0.302916279
76;6.07E-05;0.000211029;1.41E-05;0.000114155;0;0.155530908;0.233182393;0.35627253;0;0.332540389;0.303676637
77;5.77E-05;0.000216014;3.76E-05;0.000114155;0;0.165860438;0.219320416;0.35627253;0;0.324052796;0.305699784
78;5.75E-05;0.000220999;9.40E-05;0.000114155;0;0.171976196;0.158666807;0.35627253;0;0.347677933;0.295154408
79;6.82E-05;0.000224322;0.0001821;0.000114155;0;0.12588752;0.183968689;0.356243899;0;0.409135504;0.292260518
80;7.64E-05;0.000225983;0.000158603;0.000114155;0;0.096967956;0.166828138;0.356243899;0;0.377215626;0.296782929
81;9.76E-05;0.000225983;0.000146855;0.000114155;1.20E-05;0.110874291;0.132813816;0.356243899;0;0.293628853;0.308056687
82;0.000114142;0.000216014;0.000164478;0.000114155;0.023863293;0.117969996;0.089802724;0.356243899;0.029166247;0.300905992;0.300675406
83;0.00012621;0.00020272;0.000187974;0.000114155;0.10634011;0.100277503;0.051354956;0.356224811;0.118155678;0.317120181;0.282623699
84;0.000137893;0.000182781;0.000206772;0.000114155;0.200073391;0.084068293;0.038570626;0.356224811;0.41878716;0.312409633;0.292493022
85;0.000139738;0.000176134;0.000187974;0.000114155;0.27124573;0.076380166;0.041491154;0.356224811;0.30363328;0.299677855;0.291441501
86;0.000136356;0.000182781;0.000190324;0.000114155;0.28491656;0.059932651;0.038510952;0.356224811;0;0.302442379;0.300543385
87;0.000126402;0.000184442;0.000213821;0.000114155;0.226070689;0.053919341;0.030528644;0.356196179;0.030142759;0.312246217;0.285775475
88;0.000122521;0.000191089;0.00022322;0.000114155;0.12198976;0.056222216;0.042888234;0.356196179;0.106249146;0.284781246;0.281858248
89;0.00012817;0.000201059;0.00022322;0.000114155;0.024515755;0.058237789;0.035211317;0.356196179;0;0.333413409;0.30380482
90;0.000155879;0.000204382;0.000164478;0.000114155;0;0.095270866;0.041754423;0.356196179;0;0.338783217;0.30908483
91;0.00016076;0.000209367;0.000117484;0.000114155;0;0.10069398;0.04255827;0.356177092;0;0.353637288;0.310686893
92;0.000147463;0.00021269;8.81E-05;0.000114155;0;0.071462615;0.103755967;0.356177092;0;0.411620696;0.329511583
93;0.000129054;0.000216014;5.87E-05;0.000114155;0;0.090489172;0.181090284;0.356177092;0;0.40512921;0.346348091
94;0.000111721;0.000220999;3.76E-05;0.000114155;0;0.119575772;0.252829261;0.356177092;0;0.402362347;0.363341121
95;0.000118293;0.000224322;2.35E-05;0.000114155;0;0.128825133;0.315603061;0.35614846;0;0.412704881;0.380510065
96;0.000118024;0.000227645;9.40E-06;0.000114155;0;0.163524156;0.194692502;0.35614846;0;0.365799339;0.396649889
97;9.52E-05;0.00023263;5.87E-06;0.000114155;0;0.215218573;0.079142095;0.35614846;0;0.390637209;0.411109255
98;7.46E-05;0.000234292;2.35E-06;0.000114155;0;0.251770586;0.103689273;0.35614846;0;0.38593553;0.424407582
99;5.80E-05;0.000239277;1.17E-06;0.000114155;0;0.223214047;0.198051811;0.356119828;0;0.413510235;0.43784394
100;5.10E-05;0.000245923;1.41E-05;0.000114155;0;0.276024267;0.290083544;0.356119828;0;0.419373467;0.448856864
101;4.93E-05;0.000237615;3.76E-05;0.000114155;0;0.282979662;0.306055181;0.356119828;0;0.427818565;0.458786897
102;4.93E-05;0.000237615;9.40E-05;0.000114155;0;0.25071937;0.183196434;0.356119828;0;0.462271942;0.462677467
103;5.67E-05;0.000237615;0.0001821;0.000114155;0;0.188953773;0.065754002;0.356100741;0;0.498206666;0.473528004
104;5.76E-05;0.000237615;0.000158603;0.000114155;0;0.210189664;0.139490312;0.356100741;0;0.466921499;0.483491192
105;7.26E-05;0.000239277;0.000146855;0.000114155;3.09E-05;0.213158457;0.190139708;0.356100741;0;0.420557293;0.497251945
106;8.60E-05;0.000230968;0.000164478;0.000114155;0.025061902;0.230911083;0.302562482;0.356100741;0;0.488384501;0.49916838
107;0.000100999;0.00022266;0.000187974;0.000114155;0.106314389;0.257440914;0.337633389;0.356072109;0;0.510465439;0.495996837
108;0.000117102;0.000216014;0.000206772;0.000114155;0.197698465;0.231528004;0.3084246;0.356072109;0;0.371822852;0.504459653
109;0.000125134;0.00021269;0.000187974;0.000114155;0.24308442;0.158221308;0.252049986;0.356072109;0;0.392985142;0.499773875
110;0.000121175;0.000211029;0.000190324;0.000114155;0.234327201;0.109573634;0.23735257;0.356072109;0;0.389664576;0.500441038
111;0.000111452;0.000211029;0.000213821;0.000114155;0.171580278;0.087043768;0.214929093;0.356072109;0;0.409925447;0.495449933
112;0.000108724;0.000214352;0.00022322;0.000114155;0.08878709;0.080344496;0.233256108;0.356053021;0;0.208858752;0.492585489
113;0.000113758;0.000219337;0.00022322;0.000114155;0.017575312;0.092947947;0.24058902;0.356053021;0;0.227117542;0.499568982
114;0.000146502;0.00022266;0.000164478;0.000114155;0;0.096081549;0.196114153;0.356053021;0;0.302222546;0.500988471
115;0.000159992;0.000225983;0.000117484;0.000114155;0;0.101155001;0.197911401;0.356053021;0;0.381090644;0.499848349
116;0.000153497;0.000229307;8.81E-05;0.000114155;0;0.116431034;0.237970373;0.35602439;0;0.443221391;0.50632955
117;0.00013847;0.00023263;5.87E-05;0.000114155;0;0.121887556;0.219973322;0.35602439;0;0.464591958;0.511466753
118;0.000118677;0.000235953;3.76E-05;0.000114155;0;0.121428762;0.172349761;0.35602439;0;0.473147693;0.516393082
119;0.000120868;0.000239277;2.35E-05;0.000114155;0;0.091524797;0.116926425;0.35602439;0;0.500824149;0.521381866
120;0.000114411;0.0002426;9.40E-06;0.000114155;0;0.077963671;0.107525976;0.356005302;0;0.474261784;0.524092948
121;8.93E-05;0.000249246;5.87E-06;0.000114155;0;0.085527078;0.092161612;0.356005302;0;0.467605464;0.526740169
122;7.19E-05;0.000255893;2.35E-06;0.000114155;0;0.102838727;0.122100534;0.356005302;0;0.500569072;0.53052295
123;5.90E-05;0.000264201;1.17E-06;0.000114155;0;0.145649037;0.146012356;0.356005302;0;0.510716366;0.533944977
124;4.94E-05;0.000269186;1.41E-05;0.000114155;0;0.184018405;0.148511654;0.35597667;0;0.511332998;0.536311816
125;5.28E-05;0.000272509;3.76E-05;0.000114155;0;0.174679958;0.145829823;0.35597667;0;0.53396902;0.540607774
126;7.49E-05;0.000277494;9.40E-05;0.000114155;0;0.168539701;0.142063325;0.35597667;0;0.555084225;0.543588051
127;0.000121329;0.000279156;0.0001821;0.000114155;0;0.160537545;0.100719601;0.35597667;0;0.598056138;0.544628986
128;0.000164219;0.000282479;0.000158603;0.000114155;0;0.204577242;0.107747122;0.355948039;0;0.60749894;0.54088797
129;0.00018478;0.000282479;0.000146855;0.000114155;9.60E-05;0.228396629;0.126776186;0.355948039;0;0.542035928;0.531625204
130;0.000187278;0.00026254;0.000164478;0.000114155;0.023551209;0.279400629;0.148852148;0.355948039;0.089222849;0.52515222;0.531312057
131;0.000188931;0.000239277;0.000187974;0.000114155;0.094808428;0.254937595;0.146640691;0.355948039;0.292669495;0.577652066;0.521691709
132;0.000191006;0.000217675;0.000206772;0.000114155;0.176888281;0.238432174;0.22233221;0.355928951;0.431651906;0.522433458;0.515058167
133;0.000179092;0.00020272;0.000187974;0.000114155;0.193060928;0.22247686;0.307220584;0.355928951;0.424285063;0.480141734;0.504472622
134;0.000181167;0.000196074;0.000190324;0.000114155;0.167363712;0.159452922;0.353755967;0.355928951;0.428284779;0.491190143;0.499658078
135;0.000180284;0.000197736;0.000213821;0.000114155;0.114083056;0.123161486;0.427436113;0.355928951;0.287976646;0.458485449;0.490392575
136;0.000177516;0.000209367;0.00022322;0.000114155;0.045746053;0.136508806;0.591824628;0.355900319;0.194166581;0.472714695;0.486380334
137;0.000181475;0.000225983;0.00022322;0.000114155;0.007413714;0.195481555;0.73244875;0.355900319;0;0.511380422;0.486273401
138;0.00021076;0.000227645;0.000164478;0.000114155;0;0.266941943;0.830497051;0.355900319;0;0.517216423;0.473283742
139;0.00021418;0.000230968;0.000117484;0.000114155;0;0.292834808;0.704254423;0.355900319;0;0.613421966;0.466703669
140;0.000190353;0.00023263;8.81E-05;0.000114155;0;0.360618168;0.706269306;0.355881232;0;0.58383336;0.472019741
141;0.000169753;0.000235953;5.87E-05;0.000114155;0;0.377704876;0.69382547;0.355881232;0;0.569590493;0.474433967
142;0.000148308;0.000239277;3.76E-05;0.000114155;0;0.330683023;0.677183375;0.355881232;0;0.593375284;0.471029196
143;0.000152574;0.000240938;2.35E-05;0.000114155;0;0.257518864;0.609393429;0.355881232;0;0.585582983;0.482488398
144;0.000143197;0.000244262;9.40E-06;0.000114155;0;0.194156399;0.391775484;0.3558526;0;0.534028514;0.478129155
145;0.000116487;0.000244262;5.87E-06;0.000114155;0;0.130862977;0.296577506;0.3558526;0;0.553154068;0.478213069
146;9.47E-05;0.000244262;2.35E-06;0.000114155;0;0.110462268;0.280117944;0.3558526;0;0.546939471;0.480910047
147;8.01E-05;0.000244262;1.17E-06;0.000114155;0;0.115687165;0.245457737;0.3558526;0;0.553609382;0.482510755
148;7.41E-05;0.0002426;1.41E-05;0.000114155;0;0.129139161;0.126698961;0.355823969;0;0.567185164;0.482584444
149;8.01E-05;0.0002426;3.76E-05;0.000114155;0;0.116328585;0.087693064;0.355823969;0;0.552627931;0.483822412
150;9.90E-05;0.0002426;9.40E-05;0.000114155;0;0.103239615;0.131437798;0.355823969;0;0.620850874;0.479336947
151;0.00014166;0.000240938;0.0001821;0.000114155;0;0.093636137;0.216224375;0.355823969;0;0.599283442;0.476169441
152;0.000180745;0.000240938;0.000158603;0.000114155;0;0.103671682;0.323072873;0.355804881;0;0.57875673;0.473156682
153;0.000198462;0.000239277;0.000146855;0.000114155;2.57E-05;0.151887288;0.417965459;0.355804881;0;0.535285273;0.452582967
154;0.000190161;0.000237615;0.000164478;0.000114155;0.029673718;0.232084792;0.521430076;0.355804881;0;0.4907574;0.450840764
155;0.000185088;0.000235953;0.000187974;0.000114155;0.129636679;0.223452352;0.570313816;0.355804881;0;0.5158129;0.438858602
156;0.000190199;0.000227645;0.000206772;0.000114155;0.241045585;0.204889043;0.579261443;0.355776249;0;0.4878294;0.431131994
157;0.000176671;0.000224322;0.000187974;0.000114155;0.309007058;0.197539443;0.666757933;0.355776249;0;0.470799936;0.432800049
158;0.000179361;0.000196074;0.000190324;0.000114155;0.269303778;0.171671076;0.774536647;0.355776249;0.516726624;0.526014625;0.438255692
159;0.000177824;0.000182781;0.000213821;0.000114155;0.178174342;0.197234323;0.813563606;0.355776249;0.58352097;0.516175902;0.433590221
160;0.000178862;0.000181119;0.00022322;0.000114155;0.081111877;0.248581304;0.881156978;0.355757161;0.40105317;0.424225986;0.429019153
161;0.000183819;0.000189427;0.00022322;0.000114155;0.014042073;0.285322625;0.900926706;0.355757161;0;0.303998219;0.444659028
162;0.000216871;0.000194412;0.000164478;0.000114155;0;0.356912188;0.906757231;0.355757161;0;0.357914822;0.44259192
163;0.000222712;0.000199397;0.000117484;0.000114155;0;0.41893168;0.918600814;0.355757161;0;0.48630554;0.448389269
164;0.000202305;0.00020272;8.81E-05;0.000114155;0;0.479467889;0.920320837;0.35572853;0;0.510947544;0.472007615
165;0.000177516;0.000207705;5.87E-05;0.000114155;0;0.451782167;0.92542474;0.35572853;0;0.516678172;0.486760458
166;0.00015807;0.00021269;3.76E-05;0.000114155;0;0.505240488;0.924192643;0.35572853;0;0.566566932;0.492526729
167;0.000159876;0.000216014;2.35E-05;0.000114155;0;0.55388148;0.925814378;0.35572853;0;0.54420797;0.517763775
168;0.000153266;0.000220999;9.40E-06;0.000114155;0;0.636266047;0.926874473;0.355699898;0;0.550220272;0.519053715
169;0.000125787;0.000227645;5.87E-06;0.000114155;0;0.673348122;0.930658523;0.355699898;0;0.53333658;0.527724727
170;0.000101844;0.000235953;2.35E-06;0.000114155;0;0.667965096;0.925730132;0.355699898;0;0.557856079;0.535183221
171;8.31E-05;0.000244262;1.17E-06;0.000114155;0;0.707568307;0.92429093;0.355699898;0;0.553831034;0.541632143
172;7.84E-05;0.000249246;1.41E-05;0.000114155;0;0.705214207;0.924915754;0.355680811;0;0.57070284;0.547008063
173;8.78E-05;0.000254231;3.76E-05;0.000114155;0;0.671241236;0.914672845;0.355680811;0;0.579629322;0.55099845
174;0.000106764;0.000257555;9.40E-05;0.000114155;0;0.643110084;0.922883319;0.355680811;0;0.603194184;0.536859919
175;0.00014827;0.000260878;0.0001821;0.000114155;0;0.663778051;0.924269868;0.355680811;0;0.63994811;0.538164693
176;0.000186663;0.000264201;0.000158603;0.000114155;0;0.671374865;0.910959;0.355652179;0;0.633239229;0.544755375
177;0.000200038;0.000264201;0.000146855;0.000114155;0;0.681889248;0.884463634;0.355652179;0;0.572828493;0.560355875
178;0.000198193;0.00026254;0.000164478;0.000114155;0.001319499;0.701203107;0.884161752;0.355652179;0;0.551203162;0.54939107
179;0.000193927;0.000260878;0.000187974;0.000114155;0.008421986;0.74862362;0.879654591;0.355652179;0;0.565829217;0.517483201
180;0.000192966;0.000257555;0.000206772;0.000114155;0.010494259;0.77958771;0.444769728;0.355633091;0;0.527383603;0.528843141
181;0.000187662;0.000257555;0.000187974;0.000114155;0.011951795;0.778926246;0.120889497;0.355633091;0;0.500528766;0.508418249
182;0.000188815;0.000245923;0.000190324;0.000114155;0.013182984;0.791625464;0.49171581;0.355633091;0.017841632;0.508113108;0.507198587
183;0.000184204;0.000249246;0.000213821;0.000114155;0.006466315;0.797371516;0.464069082;0.355633091;0.004310877;0.49459211;0.48554558
184;0.000186164;0.000245923;0.00022322;0.000114155;0.006782687;0.756242706;0.258245577;0.35560446;0.013896237;0.51497355;0.487310343
185;0.000183512;0.000249246;0.00022322;0.000114155;0.009075305;0.634390785;0.512559674;0.35560446;0;0.545567504;0.502295935
186;0.000215449;0.000255893;0.000164478;0.000114155;0;0.458200818;0.484712862;0.35560446;0;0.562514064;0.491837675
187;0.000221444;0.00026254;0.000117484;0.000114155;0;0.4555171;0.753148694;0.35560446;0;0.637056616;0.487714805
188;0.000199922;0.000267525;8.81E-05;0.000114155;0;0.458610614;0.884495226;0.355575828;0;0.61850674;0.510883746
189;0.000178554;0.000274171;5.87E-05;0.000114155;0;0.499385306;0.881897641;0.355575828;0;0.620198191;0.51805435
190;0.000156763;0.000280818;3.76E-05;0.000114155;0;0.547095349;0.872451559;0.355575828;0;0.615693098;0.524609507
191;0.000162759;0.000287464;2.35E-05;0.000114155;0;0.610600351;0.811366189;0.355575828;0;0.627861259;0.532407527
192;0.000155072;0.000292449;9.40E-06;0.000114155;0;0.579010432;0.651070626;0.355575828;0;0.585096779;0.531994126
193;0.000123674;0.000297434;5.87E-06;0.000114155;0;0.650337191;0.775624824;0.35555674;0;0.58490871;0.534647012
194;9.81E-05;0.000300757;2.35E-06;0.000114155;0;0.713069371;0.745240101;0.35555674;0;0.590747411;0.535378742
195;8.42E-05;0.000305742;1.17E-06;0.000114155;0;0.800890415;0.856199101;0.35555674;0;0.600960342;0.533942113
196;7.86E-05;0.000307404;1.41E-05;0.000114155;0;0.791246849;0.910962511;0.35555674;0;0.605939274;0.533125661
197;8.21E-05;0.000309066;3.76E-05;0.000114155;0;0.822518285;0.911991014;0.355528109;0;0.602960502;0.529978962
198;0.000100307;0.000312389;9.40E-05;0.000114155;0;0.899956348;0.911991014;0.355528109;0;0.64189711;0.506717328
199;0.000141429;0.000312389;0.0001821;0.000114155;0;0.894818309;0.826207526;0.355528109;0;0.658026793;0.503553803
200;0.000179092;0.000314051;0.000158603;0.000114155;0;0.894196934;0.863237152;0.355528109;0;0.641991105;0.504760086
201;0.000196041;0.000314051;0.000146855;0.000114155;1.71E-06;0.912308131;0.906241224;0.355509021;0;0.565828741;0.52263076
202;0.000197924;0.000294111;0.000164478;0.000114155;0.000761348;0.895662399;0.904419405;0.355509021;0.002740853;0.559479821;0.516871183
203;0.00019827;0.000269186;0.000187974;0.000114155;0.00933166;0.875125834;0.90842109;0.355509021;0.020035623;0.583800843;0.484638916
