param layers_in_out:;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;JETFUEL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_AVIATION;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_SHIPPING;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO ;CO2_DECENTRALISED;CO2_CENTRALISED;CO2_CAPTURED;CO2_ATMOSPHERE;OTHER_GHG
IND_COGEN_GAS;0.9565;0;0;0;-2.19460381;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.438920762;0;0;0
IND_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;0;0
IND_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.22884666;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.579500132;0;0;0
IND_BOILER_GAS;0;0;0;0;-1.088771429;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.217754286;0;0;0
IND_BOILER_WOOD;0;0;0;0;0;-1.167817143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.455448686;0;0;0
IND_BOILER_OIL;0;0;0;-1.157015238;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300823962;0;0;0
IND_BOILER_COAL;0;0;0;0;0;0;0;-1.231114286;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.443201143;0;0;0
IND_BOILER_WASTE;0;0;0;0;0;0;0;0;0;-1.231114286;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.320089714;0;0;0
IND_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_HP_ELEC;-0.269097222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_COGEN_GAS;1.25;0;0;0;-2.523809524;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.504761905;0;0;0
DHN_COGEN_WOOD;0.3396;0;0;0;0;-1.8868;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.735852;0;0;0
DHN_COGEN_WASTE;0.4444;0;0;0;0;0;0;0;0;-2.22884666;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.579500132;0;0;0
DHN_COGEN_WET_BIOMASS;0.826446281;0;0;0;0;0;-6.399248535;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2.495706929;0;0;0
DHN_COGEN_BIO_HYDROLYSIS;0.758208955;0;0;0;0;0;-2.994003065;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.167661195;0;0;0
DHN_BOILER_GAS;0;0;0;0;-1.088771429;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.217754286;0;0;0
DHN_BOILER_WOOD;0;0;0;0;0;-1.167817143;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.455448686;0;0;0
DHN_BOILER_OIL;0;0;0;-1.157015238;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.300823962;0;0;0
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0
DEC_HP_ELEC;-0.358760417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEC_THHP_GAS;0;0;0;0;-0.717628472;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.143525694;0;0;0;0
DEC_COGEN_GAS;0.9565;0;0;0;-2.19460381;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.438920762;0;0;0;0
DEC_COGEN_OIL;0.907;0;0;-2.347748571;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.610414628;0;0;0;0
DEC_ADVCOGEN_GAS;2.6364;0;0;0;-4.5455;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9091;0;0;0;0
DEC_ADVCOGEN_H2;2.6364;0;0;0;0;0;0;0;0;0;-4.5455;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_GAS;0;0;0;0;-1.121681905;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.224336381;0;0;0;0
DEC_BOILER_WOOD;0;0;0;0;0;-1.187704762;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.463204857;0;0;0;0
DEC_BOILER_OIL;0;0;0;-1.187704762;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.308803238;0;0;0;0
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0
DEC_DIRECT_ELEC;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRAMWAY_TROLLEY;-0.070382379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_DIESEL;0;0;-0.291325085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.078657773;0;0;0;0
BUS_COACH_HYDIESEL;0;0;-0.227465242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.061415615;0;0;0;0
BUS_COACH_CNG_STOICH;0;0;0;0;-0.299793805;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.059958761;0;0;0;0
BUS_COACH_FC_HYBRIDH2;0;0;0;0;0;0;0;0;0;0;-0.274813655;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRAIN_PUB;-0.072972451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAR_GASOLINE;0;-0.556152212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.139038053;0;0;0;0
CAR_DIESEL;0;0;-0.476983106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.128785439;0;0;0;0
CAR_NG;0;0;0;0;-0.385802469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.077160494;0;0;0;0
CAR_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.514440796;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.126552436;0;0;0;0
CAR_HEV;0;-0.386932528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.096733132;0;0;0;0
CAR_PHEV;-0.156843876;-0.123902102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.030975526;0;0;0;0
CAR_BEV;-0.0789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
CAR_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.253127992;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
PLANE;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.214;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0642;0;0;0;0.0428
TRAIN_FREIGHT;-0.076913864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BOAT_FREIGHT_DIESEL;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.27;0;0;0;0
BOAT_FREIGHT_NG;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.2;0;0;0;0
BOAT_FREIGHT_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.246;0;0;0;0
TRUCK_DIESEL;0;0;-0.56246041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.151864311;0;0;0;0
TRUCK_METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;-0.646566639;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.159055393;0;0;0;0
TRUCK_FUEL_CELL;0;0;0;0;0;0;0;0;0;0;-0.536221766;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRUCK_ELEC;-0.280403399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRUCK_NG;0;0;0;0;-0.660486726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.132097345;0;0;0;0
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2_ELECTROLYSIS;-1.118421053;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-0.197368421;0.039473684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SMR;0;0;0;0;-1.3646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27292;0;0;0
H2_BIOMASS;0;0;0;0;0;-2.325418548;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.906913234;0;0;0
GASIFICATION_SNG;0;0;0;0;1;-1.660297917;0;0;0;0;0;0;0;0;0;0;0.338;0;0;0;0;0;0;0;0;0;0;0;0;0.447516188;0;0;0
SYN_METHANATION;0;0;0;0;1;0;0;0;0;0;-1.2;0;0;0;0;0;0.295;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.2;0;0
BIOMETHANATION;0;0;0;0;1;0;-3.3462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.105018;0;0;0
BIO_HYDROLYSIS;0.094562648;0;0;0;1;0;-2.364066194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.721985816;0;0;0
PYROLYSIS_TO_LFO;0.0238;0;0;1;0;-1.510350346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.329036635;0;0;0
PYROLYSIS_TO_FUELS;0.0256;1;0.456;0;0;-2.552619816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.622401728;0;0;0
ATM_CCS;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0
E_WOOD_TO_JETFUELS;0;0.165;0.15;0;0.1;-1;0;0;0;0;-0.42;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2541;0;0;0
WOOD_TO_JETFUELS;0;0.1;0.1;0;0.023;-1;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2541;0;0;0
CO2_TO_JETFUELS;0;0.2;0.2;0;0.1;0;0;0;0;0;-1.42;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.3;0;0
DAC_LT;-0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0
DAC_HT;-0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0
INDUSTRY_CCS;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;-1;0.9;0;0
SYN_METHANOLATION;-0.0352193;0;0;0;0;0;0;0;0;0;-1.2906829;0;1;0;0;0;0.08309067;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.2457033;0;0
METHANE_TO_METHANOL;0;0;0;0;-1.529052;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3058104;0;0;0
BIOMASS_TO_METHANOL;0.032258;0;0;0;0;-1.622190899;0;0;0;0;0;0;1;0;0;0;0.35484;0;0;0;0;0;0;0;0;0;0;0;0;0.632654451;0;0;0
HABER_BOSCH;-0.122553192;0;0;0;0;0;0;0;0;0;-1.13;1;0;0;0;0;0.134042253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_TO_H2;0;0;0;0;0;0;0;0;0;0;1;-1.636736115;0;0;0;-0.15;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OIL_TO_HVC;-0.0211887;0;0;-1.818181818;0;0;0;0;0;0;0;0;0;0;1;-0.017222222;0;0;0;0;0;0;0;0;0;0;0;0;0.472727273;0;0;0;0
GAS_TO_HVC;-0.470588235;0;0;0;-2.793650794;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.558730159;0;0;0;0
BIOMASS_TO_HVC;-0.0286;0;0;0;0;-2.394715438;0;0;0;0;0;0;0;0;1;-0.052;0;0;0;0;0;0;0;0;0;0;0;0;0.933939021;0;0;0;0
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;0;0;-1.241155343;0;1;-0.33;0;0;0;0;0;0;0;0;0;0;0;0;0.304083059;0;0;0;0
WET_BIOMASS_GROWTH;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.39;0
WOOD_GROWTH;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.39;0
CEMENT_PROCESS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
AGRICULTURE_EMISSIONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NATURAL_CO2_SEQUESTRATION;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
SEQUESTRATION;-0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0
GHG_EMISSIONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1
OTHER_GHG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
